original_text,predicted_specialization,cleaned_text
"Ребят, срочно, нам нужен свет, почини электрику!",All,"Ребят, срочно, нам нужен свет, почини электрику!"
"Команда, живее, быстрее, панель коротит, исправь электрику!",All,"Команда, живее, быстрее, панель коротит, исправь электрику!"
"Всем, немедленно, пока не поздно, проводка дымит, действуй!",All,"Всем, немедленно, пока не поздно, проводка дымит, действуй!"
"Команда, живее, быстрее, свет гаснет — ты что, спишь? включай резерв!",All,"Команда, живее, быстрее, свет гаснет — ты что, спишь? включай резерв!"
"Все, давайте, пока не поздно, проводка дымит, действуй!",All,"давайте, пока не поздно, проводка дымит, действуй!"
"Команда, срочно, срочно, почини электрику, быстрее!",All,"Команда, срочно, срочно, почини электрику, быстрее!"
"Всем, немедленно, немедленно, кабель перегорел, замени!",All,"Всем, немедленно, немедленно, кабель перегорел, замени!"
"Все, давайте, срочно, электрика на нуле, оживи!",All,"давайте, срочно, электрика на нуле, оживи!"
"Слушайте все, почини электрику, быстрее!",All,"Слушайте почини электрику, быстрее!"
"Экипаж, срочно, пока не поздно, кабель перегорел, замени!",All,"Экипаж, срочно, пока не поздно, кабель перегорел, замени!"
"Всем, немедленно, кабель перегорел, замени!",All,"Всем, немедленно, кабель перегорел, замени!"
"Экипаж, бегом, давай живее, восстанови питание срочно!",All,"Экипаж, бегом, давай живее, восстанови питание срочно!"
"Команда, живее, немедленно, почини электрику, быстрее!",All,"Команда, живее, немедленно, почини электрику, быстрее!"
"Всех по местам, немедленно, почини электрику, быстрее!",All,"Всех по местам, немедленно, почини электрику, быстрее!"
"Команда, срочно, быстрее, почини электрику, быстрее!",All,"Команда, срочно, быстрее, почини электрику, быстрее!"
"Экипаж, бегом, искры летят — не стой, как дурак,чини электрику!",All,"Экипаж, бегом, искры летят — не стой, как дурак,чини электрику!"
"Всем, немедленно, срочно, щит искрит, почини!",All,"Всем, немедленно, срочно, щит искрит, почини!"
"Всем внимание, быстрее, панель коротит, исправь электрику!",All,"Всем внимание, быстрее, панель коротит, исправь электрику!"
"Народ, срочно, быстрее, электрика на нуле, оживи!",All,"Народ, срочно, быстрее, электрика на нуле, оживи!"
"Экипаж, бегом, срочно, панель коротит, исправь электрику!",All,"Экипаж, бегом, срочно, панель коротит, исправь электрику!"
"Экипаж, чёрт, срочно, электрика на нуле, оживи!",All,"Экипаж, чёрт, срочно, электрика на нуле, оживи!"
"Всем внимание, панель коротит, исправь электрику!",All,"Всем внимание, панель коротит, исправь электрику!"
"Всех по местам, быстрее, проводка дымит, действуй!",All,"Всех по местам, быстрее, проводка дымит, действуй!"
"Экипаж, бегом, пока не поздно, проводка дымит, действуй!",All,"Экипаж, бегом, пока не поздно, проводка дымит, действуй!"
"Всем, немедленно, немедленно, щит искрит, почини!",All,"Всем, немедленно, немедленно, щит искрит, почини!"
"Экипаж, чёрт, искры летят — не стой, как дурак,чини электрику!",All,"Экипаж, чёрт, искры летят — не стой, как дурак,чини электрику!"
"Команда, срочно, почини электрику, быстрее!",All,"Команда, срочно, почини электрику, быстрее!"
"Всем, немедленно, быстрее, проводка дымит, действуй!",All,"Всем, немедленно, быстрее, проводка дымит, действуй!"
"Всех по местам, давай живее, если не починишь электрику — мы все останемся в темноте. навсегда.!",All,"Всех по местам, давай живее, если не починишь электрику — мы останемся в темноте. навсегда.!"
"Все, давайте, искры летят — не стой, как дурак,чини электрику!",All,"давайте, искры летят — не стой, как дурак,чини электрику!"
"Все, давайте, давай живее, если не починишь электрику — мы все останемся в темноте. навсегда.!",All,"давайте, давай живее, если не починишь электрику — мы останемся в темноте. навсегда.!"
"Слушайте все, давай живее, предохранители сгорели — чини электрику!",All,"Слушайте давай живее, предохранители сгорели — чини электрику!"
"Всем, немедленно, быстрее, восстанови питание срочно!",All,"Всем, немедленно, быстрее, восстанови питание срочно!"
"Весь экипаж, немедленно, почини электрику, быстрее!",All,"Весь экипаж, немедленно, почини электрику, быстрее!"
"Команда, живее, срочно, предохранители сгорели — чини электрику!",All,"Команда, живее, срочно, предохранители сгорели — чини электрику!"
"Весь экипаж, срочно, нам нужен свет, почини электрику!",All,"Весь экипаж, срочно, нам нужен свет, почини электрику!"
"Народ, срочно, немедленно, это не фонарик, а жизненно важная система!",All,"Народ, срочно, немедленно, это не фонарик, а жизненно важная система!"
"Команда, срочно, срочно, свет гаснет — ты что, спишь? включай резерв!",All,"Команда, срочно, срочно, свет гаснет — ты что, спишь? включай резерв!"
"Команда, срочно, немедленно, предохранители сгорели — чини электрику!",All,"Команда, срочно, немедленно, предохранители сгорели — чини электрику!"
"Команда, живее, пока не поздно, запах гари? тогда не жди, пока сгорит весь корабль!",All,"Команда, живее, пока не поздно, запах гари? тогда не жди, пока сгорит весь корабль!"
"Все, давайте, пока не поздно, предохранители сгорели — чини электрику!",All,"давайте, пока не поздно, предохранители сгорели — чини электрику!"
"Команда, срочно, давай живее, кабель перегорел, замени!",All,"Команда, срочно, давай живее, кабель перегорел, замени!"
"Экипаж, чёрт, быстрее, искры летят — не стой, как дурак,чини электрику!",All,"Экипаж, чёрт, быстрее, искры летят — не стой, как дурак,чини электрику!"
"Народ, срочно, нам нужен свет, почини электрику!",All,"Народ, срочно, нам нужен свет, почини электрику!"
"Ребят, срочно, пока не поздно, свет гаснет — ты что, спишь? включай резерв!",All,"Ребят, срочно, пока не поздно, свет гаснет — ты что, спишь? включай резерв!"
"Срочно, кто рядом, быстрее, щит искрит, почини!",Near,"Срочно, кто рядом, быстрее, щит искрит, почини!"
"Эй, кто рядом, электрика на нуле, оживи!",Near,"Эй, кто рядом, электрика на нуле, оживи!"
"Кто ближе, делай, давай живее, почини электрику, быстрее!",Near,"Кто ближе, делай, давай живее, почини электрику, быстрее!"
"Эй, кто рядом, срочно, электрику чинить — это не пожелание, это приказ!",Near,"Эй, кто рядом, срочно, электрику чинить — это не пожелание, это приказ!"
"Кто на связи, восстанови питание срочно!",Near,"Кто на связи, восстанови питание срочно!"
"Кто здесь, быстро, немедленно, предохранители сгорели — чини электрику!",Near,"Кто здесь, быстро, немедленно, предохранители сгорели — чини электрику!"
"Кто недалеко, нам нужен свет, почини электрику!",Near,"Кто недалеко, нам нужен свет, почини электрику!"
"Кто недалеко, давай живее, это не фонарик, а жизненно важная система!",Near,"Кто недалеко, давай живее, это не фонарик, а жизненно важная система!"
"Эй, ты рядом, кабель перегорел, замени!",Near,"Эй, ты рядом, кабель перегорел, замени!"
"Эй, кто-то рядом, запах гари? тогда не жди, пока сгорит весь корабль!",Near,"Эй, кто-то рядом, запах гари? тогда не жди, пока сгорит весь корабль!"
"Кто поблизости, пока не поздно, панель коротит, исправь электрику!",Near,"Кто поблизости, пока не поздно, панель коротит, исправь электрику!"
"Кто здесь рядом, немедленно, проводка дымит, действуй!",Near,"Кто здесь рядом, немедленно, проводка дымит, действуй!"
"Кто здесь, быстро, давай живее, проводка дымит, действуй!",Near,"Кто здесь, быстро, давай живее, проводка дымит, действуй!"
"Кто ближе всех, срочно, электрику чинить — это не пожелание, это приказ!",Near,"Кто ближе всех, срочно, электрику чинить — это не пожелание, это приказ!"
"Кто ближе всех, быстрее, электрику чинить — это не пожелание, это приказ!",Near,"Кто ближе всех, быстрее, электрику чинить — это не пожелание, это приказ!"
"Кто здесь, быстро, пока не поздно, искры летят — не стой, как дурак,чини электрику!",Near,"Кто здесь, быстро, пока не поздно, искры летят — не стой, как дурак,чини электрику!"
"Эй, ты рядом, быстрее, восстанови питание срочно!",Near,"Эй, ты рядом, быстрее, восстанови питание срочно!"
"Кто на связи, щит искрит, почини!",Near,"Кто на связи, щит искрит, почини!"
"Кто здесь рядом, немедленно, щит искрит, почини!",Near,"Кто здесь рядом, немедленно, щит искрит, почини!"
"Эй, ближайший, быстрее, искры летят — не стой, как дурак,чини электрику!",Near,"Эй, быстрее, искры летят — не стой, как дурак,чини электрику!"
"Эй, кто-то рядом, немедленно, проводка дымит, действуй!",Near,"Эй, кто-то рядом, немедленно, проводка дымит, действуй!"
"Эй, ближайший, быстрее, свет гаснет — ты что, спишь? включай резерв!",Near,"Эй, быстрее, свет гаснет — ты что, спишь? включай резерв!"
"Эй, кто-то рядом, восстанови питание срочно!",Near,"Эй, кто-то рядом, восстанови питание срочно!"
"Кто ближе, делай, немедленно, если не починишь электрику — мы все останемся в темноте. навсегда.!",Near,"Кто ближе, делай, немедленно, если не починишь электрику — мы все останемся в темноте. навсегда.!"
"Кто ближе, делай, быстрее, панель коротит, исправь электрику!",Near,"Кто ближе, делай, быстрее, панель коротит, исправь электрику!"
"Кто здесь рядом, давай живее, искры летят — не стой, как дурак,чини электрику!",Near,"Кто здесь рядом, давай живее, искры летят — не стой, как дурак,чини электрику!"
"Эй, ближайший, немедленно, электрика на нуле, оживи!",Near,"Эй, немедленно, электрика на нуле, оживи!"
"Кто недалеко, быстрее, предохранители сгорели — чини электрику!",Near,"Кто недалеко, быстрее, предохранители сгорели — чини электрику!"
"Эй, кто-то рядом, быстрее, это не фонарик, а жизненно важная система!",Near,"Эй, кто-то рядом, быстрее, это не фонарик, а жизненно важная система!"
"Кто недалеко, немедленно, нам нужен свет, почини электрику!",Near,"Кто недалеко, немедленно, нам нужен свет, почини электрику!"
"Эй, кто-то рядом, срочно, почини электрику, быстрее!",Near,"Эй, кто-то рядом, срочно, почини электрику, быстрее!"
"Эй, кто-то рядом, это не фонарик, а жизненно важная система!",Near,"Эй, кто-то рядом, это не фонарик, а жизненно важная система!"
"Эй, кто-то рядом, немедленно, восстанови питание срочно!",Near,"Эй, кто-то рядом, немедленно, восстанови питание срочно!"
"Кто поблизости, пока не поздно, нам нужен свет, почини электрику!",Near,"Кто поблизости, пока не поздно, нам нужен свет, почини электрику!"
"Кто ближе всех, электрику чинить — это не пожелание, это приказ!",Near,"Кто ближе всех, электрику чинить — это не пожелание, это приказ!"
"Кто недалеко, пока не поздно, если не починишь электрику — мы все останемся в темноте. навсегда.!",Near,"Кто недалеко, пока не поздно, если не починишь электрику — мы все останемся в темноте. навсегда.!"
"Кто здесь, быстро, нам нужен свет, почини электрику!",Near,"Кто здесь, быстро, нам нужен свет, почини электрику!"
"Кто на связи, давай живее, электрику чинить — это не пожелание, это приказ!",Near,"Кто на связи, давай живее, электрику чинить — это не пожелание, это приказ!"
"Кто ближе всех, предохранители сгорели — чини электрику!",Near,"Кто ближе всех, предохранители сгорели — чини электрику!"
"Эй, ближайший, немедленно, электрику чинить — это не пожелание, это приказ!",Near,"Эй, немедленно, электрику чинить — это не пожелание, это приказ!"
"Кто на связи, пока не поздно, электрику чинить — это не пожелание, это приказ!",Near,"Кто на связи, пока не поздно, электрику чинить — это не пожелание, это приказ!"
"Кто здесь, быстро, давай живее, искры летят — не стой, как дурак,чини электрику!",Near,"Кто здесь, быстро, давай живее, искры летят — не стой, как дурак,чини электрику!"
"Подойди, быстро, срочно, панель коротит, исправь электрику!",Near,"Подойди, быстро, срочно, панель коротит, исправь электрику!"
"Эй, ты рядом, срочно, щит искрит, почини!",Near,"Эй, ты рядом, срочно, щит искрит, почини!"
"Эй, ты рядом, срочно, нам нужен свет, почини электрику!",Near,"Эй, ты рядом, срочно, нам нужен свет, почини электрику!"
"Подойди, быстро, срочно, нам нужен свет, почини электрику!",Near,"Подойди, быстро, срочно, нам нужен свет, почини электрику!"
"Эй, ближайший, давай живее, панель коротит, исправь электрику!",Near,"Эй, давай живее, панель коротит, исправь электрику!"
"Эй, кто-то рядом, почини электрику, быстрее!",Near,"Эй, кто-то рядом, почини электрику, быстрее!"
"Кто недалеко, срочно, если не починишь электрику — мы все останемся в темноте. навсегда.!",Near,"Кто недалеко, срочно, если не починишь электрику — мы все останемся в темноте. навсегда.!"
"Кто на связи, если не починишь электрику — мы все останемся в темноте. навсегда.!",Near,"Кто на связи, если не починишь электрику — мы все останемся в темноте. навсегда.!"
"Кто ближе всех, пока не поздно, электрику чинить — это не пожелание, это приказ!",Near,"Кто ближе всех, пока не поздно, электрику чинить — это не пожелание, это приказ!"
"Кто поблизости, нам нужен свет, почини электрику!",Near,"Кто поблизости, нам нужен свет, почини электрику!"
"Кто на связи, пока не поздно, панель коротит, исправь электрику!",Near,"Кто на связи, пока не поздно, панель коротит, исправь электрику!"
"Срочно, кто рядом, немедленно, нам нужен свет, почини электрику!",Near,"Срочно, кто рядом, немедленно, нам нужен свет, почини электрику!"
"Кто недалеко, быстрее, это не фонарик, а жизненно важная система!",Near,"Кто недалеко, быстрее, это не фонарик, а жизненно важная система!"
"Кто поблизости, немедленно, электрика на нуле, оживи!",Near,"Кто поблизости, немедленно, электрика на нуле, оживи!"
"Срочно, кто рядом, пока не поздно, панель коротит, исправь электрику!",Near,"Срочно, кто рядом, пока не поздно, панель коротит, исправь электрику!"
"Кто поблизости, проводка дымит, действуй!",Near,"Кто поблизости, проводка дымит, действуй!"
"Кто ближе всех, немедленно, запах гари? тогда не жди, пока сгорит весь корабль!",Near,"Кто ближе всех, немедленно, запах гари? тогда не жди, пока сгорит весь корабль!"
"Кто ближе, делай, срочно, электрику чинить — это не пожелание, это приказ!",Near,"Кто ближе, делай, срочно, электрику чинить — это не пожелание, это приказ!"
"Кто ближе, делай, быстрее, проводка дымит, действуй!",Near,"Кто ближе, делай, быстрее, проводка дымит, действуй!"
"Эй, кто рядом, давай живее, свет гаснет — ты что, спишь? включай резерв!",Near,"Эй, кто рядом, давай живее, свет гаснет — ты что, спишь? включай резерв!"
"Кто ближе, делай, давай живее, электрика на нуле, оживи!",Near,"Кто ближе, делай, давай живее, электрика на нуле, оживи!"
"Срочно, кто рядом, пока не поздно, нам нужен свет, почини электрику!",Near,"Срочно, кто рядом, пока не поздно, нам нужен свет, почини электрику!"
"Эй, ты рядом, пока не поздно, это не фонарик, а жизненно важная система!",Near,"Эй, ты рядом, пока не поздно, это не фонарик, а жизненно важная система!"
"Срочно, кто рядом, искры летят — не стой, как дурак,чини электрику!",Near,"Срочно, кто рядом, искры летят — не стой, как дурак,чини электрику!"
"Эй, ближайший, давай живее, электрика на нуле, оживи!",Near,"Эй, давай живее, электрика на нуле, оживи!"
"Кто здесь, быстро, пока не поздно, это не фонарик, а жизненно важная система!",Near,"Кто здесь, быстро, пока не поздно, это не фонарик, а жизненно важная система!"
"Подойди, быстро, пока не поздно, кабель перегорел, замени!",Near,"Подойди, быстро, пока не поздно, кабель перегорел, замени!"
"Кто здесь, быстро, пока не поздно, восстанови питание срочно!",Near,"Кто здесь, быстро, пока не поздно, восстанови питание срочно!"
"Эй, кто рядом, быстрее, восстанови питание срочно!",Near,"Эй, кто рядом, быстрее, восстанови питание срочно!"
"Кто здесь, быстро, давай живее, предохранители сгорели — чини электрику!",Near,"Кто здесь, быстро, давай живее, предохранители сгорели — чини электрику!"
"Эй, ты рядом, срочно, электрика на нуле, оживи!",Near,"Эй, ты рядом, срочно, электрика на нуле, оживи!"
"Эй, ты рядом, давай живее, проводка дымит, действуй!",Near,"Эй, ты рядом, давай живее, проводка дымит, действуй!"
"Кто ближе всех, давай живее, запах гари? тогда не жди, пока сгорит весь корабль!",Near,"Кто ближе всех, давай живее, запах гари? тогда не жди, пока сгорит весь корабль!"
"Кто на связи, пока не поздно, почини электрику, быстрее!",Near,"Кто на связи, пока не поздно, почини электрику, быстрее!"
"Эй, кто рядом, пока не поздно, это не фонарик, а жизненно важная система!",Near,"Эй, кто рядом, пока не поздно, это не фонарик, а жизненно важная система!"
"Эй, кто рядом, панель коротит, исправь электрику!",Near,"Эй, кто рядом, панель коротит, исправь электрику!"
"Кто поблизости, давай живее, восстанови питание срочно!",Near,"Кто поблизости, давай живее, восстанови питание срочно!"
"Срочно, кто рядом, пока не поздно, свет гаснет — ты что, спишь? включай резерв!",Near,"Срочно, кто рядом, пока не поздно, свет гаснет — ты что, спишь? включай резерв!"
"Кто недалеко, немедленно, электрика на нуле, оживи!",Near,"Кто недалеко, немедленно, электрика на нуле, оживи!"
"Эй, кто рядом, немедленно, кабель перегорел, замени!",Near,"Эй, кто рядом, немедленно, кабель перегорел, замени!"
"Кто здесь рядом, срочно, щит искрит, почини!",Near,"Кто здесь рядом, срочно, щит искрит, почини!"
"Срочно, кто рядом, срочно, искры летят — не стой, как дурак,чини электрику!",Near,"Срочно, кто рядом, срочно, искры летят — не стой, как дурак,чини электрику!"
"Кто здесь рядом, искры летят — не стой, как дурак,чини электрику!",Near,"Кто здесь рядом, искры летят — не стой, как дурак,чини электрику!"
"Подойди, быстро, предохранители сгорели — чини электрику!",Near,"Подойди, быстро, предохранители сгорели — чини электрику!"
"Кто здесь, быстро, срочно, если не починишь электрику — мы все останемся в темноте. навсегда.!",Near,"Кто здесь, быстро, срочно, если не починишь электрику — мы все останемся в темноте. навсегда.!"
"Эй, ты рядом, быстрее, нам нужен свет, почини электрику!",Near,"Эй, ты рядом, быстрее, нам нужен свет, почини электрику!"
"Эй, кто рядом, срочно, восстанови питание срочно!",Near,"Эй, кто рядом, срочно, восстанови питание срочно!"
"Подойди, быстро, восстанови питание срочно!",Near,"Подойди, быстро, восстанови питание срочно!"
"Кто ближе, делай, восстанови питание срочно!",Near,"Кто ближе, делай, восстанови питание срочно!"
"Эй, кто рядом, срочно, кабель перегорел, замени!",Near,"Эй, кто рядом, срочно, кабель перегорел, замени!"
"Эй, ты рядом, пока не поздно, щит искрит, почини!",Near,"Эй, ты рядом, пока не поздно, щит искрит, почини!"
"Кто недалеко, срочно, нам нужен свет, почини электрику!",Near,"Кто недалеко, срочно, нам нужен свет, почини электрику!"
"Кто недалеко, восстанови питание срочно!",Near,"Кто недалеко, восстанови питание срочно!"
"Кто на связи, пока не поздно, запах гари? тогда не жди, пока сгорит весь корабль!",Near,"Кто на связи, пока не поздно, запах гари? тогда не жди, пока сгорит весь корабль!"
"Кто ближе, делай, давай живее, кабель перегорел, замени!",Near,"Кто ближе, делай, давай живее, кабель перегорел, замени!"
"Кто здесь, быстро, срочно, щит искрит, почини!",Near,"Кто здесь, быстро, срочно, щит искрит, почини!"
"Кто ближе всех, это не фонарик, а жизненно важная система!",Near,"Кто ближе всех, это не фонарик, а жизненно важная система!"
"Срочно, кто рядом, давай живее, это не фонарик, а жизненно важная система!",Near,"Срочно, кто рядом, давай живее, это не фонарик, а жизненно важная система!"
"Немедленно, капитан, энергия — это наша кровь. Включи её!",Капитан,"Немедленно, энергия — это наша кровь. Включи её!"
"Капитан, кукумбер в отключке — включи, иначе мы превратимся в ледяные скульптуры!",Капитан,"кукумбер в отключке — включи, иначе мы превратимся в ледяные скульптуры!"
"Немедленно, энергия на нуле, включи реактор, капитан!",Капитан,"Немедленно, энергия на нуле, включи реактор, !"
"Немедленно, капитан, кукумбер в отключке — включи, иначе мы превратимся в ледяные скульптуры!",Капитан,"Немедленно, кукумбер в отключке — включи, иначе мы превратимся в ледяные скульптуры!"
"Реактор заглох, запускай, капитан!",Капитан,"Реактор заглох, запускай, !"
"Капитан, нам нужна энергия, а не тишина и смерть!",Капитан,"нам нужна энергия, а не тишина и смерть!"
"Срочно, энергия — это наша кровь. Включи её, капитан!",Капитан,"Срочно, энергия — это наша кровь. Включи её, !"
"Срочно, кукумбер в отключке — включи, иначе мы превратимся в ледяные скульптуры, капитан!",Капитан,"Срочно, кукумбер в отключке — включи, иначе мы превратимся в ледяные скульптуры, !"
"Реактор заглох, капитан, запускай!",Капитан,"Реактор заглох, запускай!"
"Если реактор не запустится — мы не доживём до следующей станции, капитан!",Капитан,"Если реактор не запустится — мы не доживём до следующей станции, !"
"Кукумбер в отключке — включи, капитан, иначе мы превратимся в ледяные скульптуры!",Капитан,"Кукумбер в отключке — включи, иначе мы превратимся в ледяные скульптуры!"
"Пока не поздно, энергия на нуле, включи реактор, капитан!",Капитан,"Пока не поздно, энергия на нуле, включи реактор, !"
"Капитан, быстрее, кукумбер, проснись!",Капитан,"быстрее, кукумбер, проснись!"
"Кукумбер, капитан, проснись!",Капитан,"Кукумбер, проснись!"
"Капитан, пока не поздно, включи реактор, срочно!",Капитан,"пока не поздно, включи реактор, срочно!"
"Немедленно, кукумбер в отключке — включи, иначе мы превратимся в ледяные скульптуры, капитан!",Капитан,"Немедленно, кукумбер в отключке — включи, иначе мы превратимся в ледяные скульптуры, !"
"Возобнови работу реактора, капитан!",Капитан,"Возобнови работу реактора, !"
"Капитан, немедленно, нам нужна энергия, а не тишина и смерть!",Капитан,"немедленно, нам нужна энергия, а не тишина и смерть!"
"Немедленно, капитан, подай энергию, быстро!",Капитан,"Немедленно, подай энергию, быстро!"
"Капитан, запусти реактор, или я сам влезу и дам по голове!",Капитан,"запусти реактор, или я сам влезу и дам по голове!"
"Капитан, давай живее, энергия — это наша кровь. Включи её!",Капитан,"давай живее, энергия — это наша кровь. Включи её!"
"Немедленно, капитан, реактор заглох, запускай!",Капитан,"Немедленно, реактор заглох, запускай!"
"Срочно, капитан, реактор спит — разбуди его, пока не замёрзли!",Капитан,"Срочно, реактор спит — разбуди его, пока не замёрзли!"
"Капитан, давай живее, реактор заглох, запускай!",Капитан,"давай живее, реактор заглох, запускай!"
"Немедленно, капитан, нам нужна энергия, а не тишина и смерть!",Капитан,"Немедленно, нам нужна энергия, а не тишина и смерть!"
"Быстрее, капитан, подай энергию, быстро!",Капитан,"Быстрее, подай энергию, быстро!"
"Срочно, капитан, кукумбер в отключке — включи, иначе мы превратимся в ледяные скульптуры!",Капитан,"Срочно, кукумбер в отключке — включи, иначе мы превратимся в ледяные скульптуры!"
"Капитан, немедленно, подай энергию, быстро!",Капитан,"немедленно, подай энергию, быстро!"
"Капитан, энергия на нуле, включи реактор!",Капитан,"энергия на нуле, включи реактор!"
"Быстрее, возобнови работу реактора, капитан!",Капитан,"Быстрее, возобнови работу реактора, !"
"Капитан, подай энергию, быстро!",Капитан,"подай энергию, быстро!"
"Подай энергию, быстро, капитан!",Капитан,"Подай энергию, быстро, !"
"Капитан, давай живее, возобнови работу реактора!",Капитан,"давай живее, возобнови работу реактора!"
Возобнови работу реактора!,Near,Возобнови работу реактора!
"Капитан, давай живее, нам нужна энергия, а не тишина и смерть!",Капитан,"давай живее, нам нужна энергия, а не тишина и смерть!"
"Немедленно, капитан, запусти реактор, или я сам влезу и дам по голове!",Капитан,"Немедленно, запусти реактор, или я сам влезу и дам по голове!"
"Немедленно, капитан, активируй кукумбер!",Капитан,"Немедленно, активируй кукумбер!"
"Энергия на нуле, капитан, включи реактор!",Капитан,"Энергия на нуле, включи реактор!"
"Капитан, немедленно, возобнови работу реактора!",Капитан,"немедленно, возобнови работу реактора!"
"Кукумбер, проснись, капитан!",Капитан,"Кукумбер, проснись, !"
"Капитан, реактор спит — разбуди его, пока не замёрзли!",Капитан,"реактор спит — разбуди его, пока не замёрзли!"
"Капитан, срочно, включи реактор, срочно!",Капитан,"срочно, включи реактор, срочно!"
"Капитан, немедленно, энергия на нуле, включи реактор!",Капитан,"немедленно, энергия на нуле, включи реактор!"
"Пока не поздно, капитан, запусти реактор, или я сам влезу и дам по голове!",Капитан,"Пока не поздно, запусти реактор, или я сам влезу и дам по голове!"
"Капитан, быстрее, возобнови работу реактора!",Капитан,"быстрее, возобнови работу реактора!"
"Капитан, активируй кукумбер!",Капитан,активируй кукумбер!
"Немедленно, капитан, энергия на нуле, включи реактор!",Капитан,"Немедленно, энергия на нуле, включи реактор!"
"Капитан, немедленно, кукумбер в отключке — включи, иначе мы превратимся в ледяные скульптуры!",Капитан,"немедленно, кукумбер в отключке — включи, иначе мы превратимся в ледяные скульптуры!"
"Давай живее, капитан, нам нужна энергия, а не тишина и смерть!",Капитан,"Давай живее, нам нужна энергия, а не тишина и смерть!"
"Давай живее, если реактор не запустится — мы не доживём до следующей станции, капитан!",Медик,"Давай живее, если реактор не запустится — мы не доживём до следующей станции, капитан!"
"Пока не поздно, капитан, реактор спит — разбуди его, пока не замёрзли!",Капитан,"Пока не поздно, реактор спит — разбуди его, пока не замёрзли!"
"Пока не поздно, активируй кукумбер, капитан!",Капитан,"Пока не поздно, активируй кукумбер, !"
"Реактор спит — разбуди его, капитан, пока не замёрзли!",Капитан,"Реактор спит — разбуди его, пока не замёрзли!"
"Немедленно, реактор спит — разбуди его, пока не замёрзли, капитан!",Капитан,"Немедленно, реактор спит — разбуди его, пока не замёрзли, !"
"Пока не поздно, капитан, реактор заглох, запускай!",Капитан,"Пока не поздно, реактор заглох, запускай!"
"Быстрее, подай энергию, быстро, капитан!",Капитан,"Быстрее, подай энергию, быстро, !"
"Быстрее, капитан, энергия на нуле, включи реактор!",Капитан,"Быстрее, энергия на нуле, включи реактор!"
"Капитан, если реактор не запустится — мы не доживём до следующей станции!",Капитан,если реактор не запустится — мы не доживём до следующей станции!
"Давай живее, энергия на нуле, включи реактор, капитан!",Капитан,"Давай живее, энергия на нуле, включи реактор, !"
"Капитан, давай живее, активируй кукумбер!",Капитан,"давай живее, активируй кукумбер!"
